method	dataset	time
TPOT-MDR+EKF	2w_10a_0.1	2380.6222603321075
TPOT-MDR+EKF	2w_10a_0.1	2334.49417924881
TPOT-MDR+EKF	2w_10a_0.1	2252.574453830719
TPOT-MDR+EKF	2w_10a_0.1	2237.8312816619873
TPOT-MDR+EKF	2w_10a_0.1	2313.1494810581207
TPOT-MDR+EKF	2w_10a_0.1	2280.881683111191
TPOT-MDR+EKF	2w_10a_0.1	2258.121450662613
TPOT-MDR+EKF	2w_10a_0.1	1970.9983608722687
TPOT-MDR+EKF	2w_10a_0.1	2142.44535946846
TPOT-MDR+EKF	2w_10a_0.1	2331.2675201892853
TPOT-MDR+EKF	2w_10a_0.1	2321.734193086624
TPOT-MDR+EKF	2w_10a_0.1	2307.5910539627075
TPOT-MDR+EKF	2w_10a_0.1	2377.039494752884
TPOT-MDR+EKF	2w_10a_0.1	2265.7314076423645
TPOT-MDR+EKF	2w_10a_0.1	2242.7829105854034
TPOT-MDR+EKF	2w_10a_0.1	2308.9153637886047
TPOT-MDR+EKF	2w_10a_0.2	7485.838893175125
TPOT-MDR+EKF	2w_10a_0.2	1249.9511725902557
TPOT-MDR+EKF	2w_10a_0.2	2560.58855676651
TPOT-MDR+EKF	2w_10a_0.2	2525.0030772686005
TPOT-MDR+EKF	2w_10a_0.2	2599.821295261383
TPOT-MDR+EKF	2w_10a_0.2	2561.162618160248
TPOT-MDR+EKF	2w_10a_0.2	2531.3651621341705
TPOT-MDR+EKF	2w_10a_0.2	2537.666591644287
TPOT-MDR+EKF	2w_10a_0.2	2574.88658952713
TPOT-MDR+EKF	2w_10a_0.2	2501.2779920101166
TPOT-MDR+EKF	2w_10a_0.2	2620.4917709827423
TPOT-MDR+EKF	2w_10a_0.2	2362.135746717453
TPOT-MDR+EKF	2w_10a_0.2	2706.7317485809326
TPOT-MDR+EKF	2w_10a_0.2	2493.9858210086823
TPOT-MDR+EKF	2w_10a_0.2	2601.531102657318
TPOT-MDR+EKF	2w_10a_0.4	62909.615359544754
TPOT-MDR+EKF	2w_100a_0.05	9765.603808403015
TPOT-MDR+EKF	2w_100a_0.05	10786.280141830444
TPOT-MDR+EKF	2w_100a_0.05	9111.428318738937
TPOT-MDR+EKF	2w_100a_0.05	10561.315143585205
TPOT-MDR+EKF	2w_100a_0.05	11179.81799697876
TPOT-MDR+EKF	2w_100a_0.05	13219.228137731552
TPOT-MDR+EKF	2w_100a_0.05	10486.188176870346
TPOT-MDR+EKF	2w_100a_0.05	27444.910268306732
TPOT-MDR+EKF	2w_100a_0.05	11750.593908309937
TPOT-MDR+EKF	2w_100a_0.05	10507.408168554306
TPOT-MDR+EKF	2w_100a_0.05	9897.635035514832
TPOT-MDR+EKF	2w_100a_0.05	11276.819428920746
TPOT-MDR+EKF	2w_100a_0.05	8835.816257715225
TPOT-MDR+EKF	2w_100a_0.05	11370.39859342575
TPOT-MDR+EKF	2w_100a_0.05	12327.555395364761
TPOT-MDR+EKF	2w_100a_0.05	8137.748263120651
TPOT-MDR+EKF	2w_100a_0.05	9596.29233789444
TPOT-MDR+EKF	2w_100a_0.05	8812.355873346329
TPOT-MDR+EKF	2w_100a_0.05	8701.367886304855
TPOT-MDR+EKF	2w_100a_0.05	9938.775772094727
